Date,Stock Splits,Symbol
2018-12-31,1:10,ATXS
2021-08-20,1:6,ATXS
1998-06-02,2:1,AUB
2006-10-16,3:2,AUB
1998-06-26,3:1,AUBN
2000-10-10,2:1,AUDC
2023-07-10,1:8,AUID
2019-03-15,1:20,AULT
2019-08-06,1:40,AULT
2023-05-18,1:300,AULT
2023-06-23,1318:1000,AULT
2024-01-17,1:25,AULT
2024-04-12,1024:1000,AULT
2023-06-09,1:25,AUMN
2024-02-27,1:25,AUUD
2023-05-31,1:5,AUVI
2023-12-12,1:25,AUVI
1993-11-10,2:1,AVA
1988-11-02,5:4,AVD
2000-03-29,11:10,AVD
2001-03-28,11:10,AVD
2002-04-15,4:3,AVD
2003-04-14,3:2,AVD
2004-04-19,3:2,AVD
2005-04-18,2:1,AVD
2006-04-18,4:3,AVD
2018-01-31,1:40,AVGR
2019-06-24,1:10,AVGR
2022-03-15,1:20,AVGR
2023-09-13,1:15,AVGR
1997-11-25,2:1,AVNW
2016-06-14,1:12,AVNW
2021-04-08,2:1,AVNW
2024-06-21,1:12,AVRO
1981-06-01,11:10,AVT
1983-02-16,2:1,AVT
2000-09-29,2:1,AVT
2022-07-08,1:12,AVTX
2023-12-29,1:240,AVTX
2015-10-07,1:4,AVXL
1983-12-29,2:1,AVY
1987-03-17,2:1,AVY
1996-12-23,2:1,AVY
2008-03-04,1:10,AWH
2023-05-12,1:15,AWH
2024-04-02,1:100,AWIN
1993-10-06,2:1,AWR
2002-06-10,3:2,AWR
2013-09-04,2:1,AWR
2015-11-18,4:1,AX
2023-07-12,1:10,AXDX
1992-07-10,105:100,AXGN
1993-07-12,105:100,AXGN
1994-07-11,105:100,AXGN
2004-02-11,3:1,AXON
2004-04-30,2:1,AXON
2004-11-30,2:1,AXON
1983-02-11,4:3,AXP
1983-08-11,3:2,AXP
1987-05-11,2:1,AXP
1994-05-31,10000:8825,AXP
2000-05-11,3:1,AXP
2005-10-03,10000:8753,AXP
1983-07-28,6:5,AXR
1984-11-23,5:4,AXR
1985-11-22,6:5,AXR
1986-12-02,3:2,AXR
2005-01-10,1:12,AYRO
2013-05-28,1:7,AYRO
2015-04-20,1:22,AYRO
2018-01-31,1:4,AYRO
2019-03-11,1:6,AYRO
2020-05-29,1:5,AYRO
2023-09-18,1:8,AYRO
2015-06-10,82:1000,AYTU
2016-07-01,1:12,AYTU
2017-08-29,1:20,AYTU
2018-08-13,1:20,AYTU
2020-12-09,1:10,AYTU
2023-01-06,1:20,AYTU
2021-08-20,1:3,AZ
1998-04-08,3:1,AZN
2015-07-27,2:1,AZN
1992-02-03,2:1,AZO
1994-04-21,2:1,AZO
1997-03-03,2:1,AZPN
2024-07-01,1:30,AZTR
1980-05-05,5:4,AZZ
1981-05-04,4:3,AZZ
1990-08-31,105:100,AZZ
1991-08-30,105:100,AZZ
2007-05-07,2:1,AZZ
2012-07-31,2:1,AZZ
1986-11-21,2:1,BAC
1997-02-28,2:1,BAC
2004-08-30,2:1,BAC
2023-09-08,1:30,BACK
1979-04-16,3:2,BA
1980-04-15,3:2,BA
1985-06-10,3:2,BA
1989-06-12,3:2,BA
1990-06-11,3:2,BA
1997-06-09,2:1,BA
2021-05-12,3:2,BAFN
1982-10-04,2:1,BALL
1985-10-02,2:1,BALL
2002-02-25,2:1,BALL
2004-08-24,2:1,BALL
2011-02-16,2:1,BALL
2017-05-17,2:1,BALL
1992-06-15,3:2,BANF
2006-03-02,2:1,BANF
2017-08-01,2:1,BANF
1998-08-06,11:10,BANR
2000-10-27,11:10,BANR
2011-06-01,1:7,BANR
2023-03-22,1:6,BAOS
1996-04-19,1175:1000,BAP
1997-04-29,6:5,BAP
1998-03-27,11:10,BAP
2014-04-16,1039:1000,BAP
1981-11-09,2:1,BAX
1983-11-18,2:1,BAX
1992-12-01,100000:90823,BAX
2001-05-31,2:1,BAX
2015-07-01,1841:1000,BAX
1995-12-14,115:100,BBAR
1996-12-11,115:100,BBAR
2009-09-22,1138:1000,BBAR
2004-06-07,2:1,BB
2007-08-21,3:1,BB
2004-03-22,1:2,BBD
2004-12-22,3:1,BBD
2005-12-02,2:1,BBD
2007-04-03,2:1,BBD
2008-04-16,3:2,BBD
2013-03-26,11:10,BBD
2016-04-18,11:10,BBD
2017-05-02,11:10,BBD
2019-04-01,6:5,BBD
2013-03-26,11:10,BBDO
2023-06-07,1:30,BBLG
2023-12-20,1:8,BBLG
1994-05-24,2:1,BBSI
2005-05-20,3:2,BBSI
2024-06-24,4:1,BBSI
2022-03-15,1558:1000,BBU
1997-07-22,3:1,BBVA
1998-07-14,3:1,BBVA
2009-04-07,10161:10000,BBVA
2011-03-29,60:59,BBVA
1986-06-24,3:2,BBWI
1990-06-20,2:1,BBWI
1998-06-02,10000:9827,BBWI
2000-05-31,2:1,BBWI
2021-08-03,1237:1000,BBWI
1986-04-01,2:1,BBY
1987-02-23,3:2,BBY
1993-09-02,3:2,BBY
1994-04-29,2:1,BBY
1998-05-27,2:1,BBY
1999-03-19,2:1,BBY
2002-05-13,3:2,BBY
2005-08-04,3:2,BBY
2024-03-22,1:190,BCAN
2003-10-30,11:10,BCBP
2004-11-23,125:100,BCBP
2005-10-28,125:100,BCBP
1983-11-16,2:1,BC
1986-02-18,2:1,BC
1987-06-10,2:1,BC
2001-08-23,1:3,BCDA
2004-01-06,6:1,BCDA
2008-03-14,1:10,BCDA
2017-11-03,1:12,BCDA
2019-06-06,1:9,BCDA
2024-05-30,1:15,BCDA
1997-05-23,2:1,BCE
2012-06-20,25473:25000,BCH
2013-05-23,10203:10000,BCH
2014-07-09,1023:1000,BCH
2016-07-06,10223:10000,BCH
2018-11-23,3:1,BCH
2014-09-16,1:15,BCLI
2021-07-15,1316:1000,BCOW
1990-12-31,5:4,BCPC
1991-12-30,4:3,BCPC
1994-10-04,3:2,BCPC
1998-06-04,3:2,BCPC
2005-01-21,3:2,BCPC
2006-01-23,3:2,BCPC
2007-01-22,3:2,BCPC
2010-01-21,3:2,BCPC
1990-06-08,7:5,BCS
2002-05-06,4:1,BCS
2013-09-19,1085:1000,BCS
2020-05-12,1019:1000,BCSF
1997-04-28,3:1,B
2006-06-12,2:1,B
2014-12-03,307:1000,BCTX
2020-01-02,1:300,BCTX
1996-01-02,3:2,BDC
1998-01-12,3:2,BDC
2000-08-22,3:2,BDC
2004-07-16,1:2,BDC
1999-04-05,2:1,BDL
1996-11-26,1:3,BDN
2019-04-08,1:10,BDRX
2020-03-03,1:5,BDRX
2022-09-26,1:5,BDRX
2023-03-27,1:4,BDRX
2023-07-05,1:80,BDRX
1986-03-03,2:1,BDX
1993-03-01,2:1,BDX
1996-08-16,2:1,BDX
1998-08-21,2:1,BDX
2022-04-01,1025:1000,BDX
2006-06-13,3:2,BECN
2022-08-19,1:4,BEDU
2019-04-16,1:50,BEEM
1984-07-11,2:1,BELFA
1999-12-02,2:1,BELFA
1999-12-02,2:1,BELFB
1984-04-13,5:4,BEN
1985-04-02,2:1,BEN
1986-01-23,2:1,BEN
1986-10-27,3:2,BEN
1987-07-15,5:4,BEN
1990-01-16,3:2,BEN
1992-04-15,2:1,BEN
1997-01-15,3:2,BEN
1998-01-16,2:1,BEN
2013-07-26,3:1,BEN
2024-04-18,1:80,BENF
2020-12-14,3:2,BEPC
2020-07-30,1251:1000,BEP
2020-12-14,3:2,BEP
2022-05-20,1:5,BEST
2023-04-04,1:4,BEST
2021-11-08,1253:1000,BFH
2023-07-05,1:20,BFRI
2018-12-03,1555:1000,BGC
2022-05-27,1:10,BHAT
1999-01-26,2:1,BHB
2014-05-20,3:2,BHB
2017-03-22,3:2,BHB
1996-01-17,3:1,BHC
2000-01-20,2:1,BHC
2000-10-16,2:1,BHC
1992-12-24,11:10,BH
1994-01-04,11:10,BH
1994-12-29,11:10,BH
1995-12-20,11:10,BH
1997-01-02,11:10,BH
1997-12-29,5:4,BH
1998-12-29,5:4,BH
1999-12-27,11:10,BH
2009-12-21,1:20,BH
2013-08-23,1077:1000,BH
2014-08-15,1077:1000,BH
2018-05-01,3:2,BH
1997-08-15,2:1,BHE
2003-11-14,3:2,BHE
2006-04-04,3:2,BHE
1984-04-19,6:5,BHP
1985-04-19,9:8,BHP
1986-01-31,6:5,BHP
1987-04-24,6:5,BHP
1987-05-28,1:2,BHP
1996-06-25,2:1,BHP
2001-07-13,20651:10000,BHP
2022-06-02,1121:1000,BHP
2022-11-15,40:1,BHRB
2019-10-28,101:100,BHR
2010-05-12,10:1,BIDU
1985-11-26,2:1,BIG
1986-06-17,2:1,BIG
1996-12-26,5:4,BIG
1997-06-25,5:4,BIG
1999-12-21,2:1,BIIB
2001-01-18,3:1,BIIB
2009-08-26,1:3,BIMI
2010-09-16,10:25,BIMI
2022-02-03,1:5,BIMI
2022-12-12,1:10,BIMI
1980-03-18,2:1,BIO
1985-08-01,3:2,BIO
1986-06-11,3:2,BIO
1996-06-03,3:2,BIO
2002-03-08,2:1,BIO
1994-02-15,1:4,BIOL
2011-03-11,101:100,BIOL
2011-06-08,101:100,BIOL
2011-08-25,101:100,BIOL
2011-11-22,101:100,BIOL
2012-03-13,201:200,BIOL
2012-06-06,201:200,BIOL
2012-09-12,1005:1000,BIOL
2012-12-12,201:200,BIOL
2013-03-13,201:200,BIOL
2013-06-12,1004:1000,BIOL
2013-08-28,1004:1000,BIOL
2013-12-12,1004:1000,BIOL
2014-03-12,201:200,BIOL
2018-05-11,1:5,BIOL
2022-04-29,1:25,BIOL
2023-07-28,1:100,BIOL
2023-01-03,1:25,BIOR
2022-06-13,3:2,BIPC
2016-09-15,3:2,BIP
2020-03-31,112:100,BIP
